1,2,3,4,5,6,7,8,9,10
0.1,0.1,0.05,0.1,0.05,0.05,0.05,0.0,0.0,0.0
0.05,0.1,0.1,0.05,0.1,0.05,0.05,0.0,0.05,0.05
0.1,0.05,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0
0.1,0.1,0.1,0.05,0.1,0.1,0.05,0.1,0.1,0.0
0.05,0.1,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.0
0.1,0.1,0.1,0.1,0.05,0.0,0.05,0.05,0.05,0.0
0.05,0.1,0.0,0.1,0.1,0.0,0.05,0.0,0.05,0.05
0.05,0.1,0.05,0.0,0.05,0.1,0.0,0.05,0.1,0.05
0.1,0.05,0.05,0.05,0.1,0.05,0.05,0.0,0.0,0.0
0.05,0.05,0.05,0.1,0.1,0.1,0.0,0.0,0.0,0.1
0.1,0.05,0.1,0.1,0.05,0.1,0.1,0.05,0.0,0.05
0.05,0.1,0.05,0.05,0.0,0.1,0.0,0.0,0.05,0.05
0.05,0.1,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.05
0.1,0.05,0.1,0.05,0.1,0.05,0.05,0.1,0.05,0.05
0.1,0.05,0.05,0.0,0.1,0.1,0.05,0.1,0.0,0.0
0.1,0.05,0.0,0.05,0.05,0.1,0.05,0.05,0.05,0.05
0.05,0.1,0.0,0.05,0.05,0.1,0.05,0.0,0.0,0.0
0.05,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0
0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.05,0.0,0.0
0.05,0.1,0.1,0.0,0.05,0.1,0.05,0.0,0.0,0.0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05
0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.05
0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.05,0.0,0.0
0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.0
0.05,0.05,0.0,0.1,0.05,0.05,0.0,0.05,0.05,0.05
0.05,0.0,0.05,0.1,0.05,0.1,0.1,0.075,0.075,0.075
0.1,0.05,0.1,0.05,0.0,0.05,0.0,0.05,0.0,0.0
0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.0,0.05,0.0
0.05,0.05,0.1,0.0,0.05,0.05,0.05,0.05,0.0,0.05
0.1,0.1,0.1,0.05,0.1,0.05,0.1,0.05,0.0,0.05
0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.05,0.1,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0
0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.05,0.05,0.0
0.05,0.1,0.05,0.1,0.0,0.1,0.1,0.1,0.1,0.1
0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.1,0.05,0.05
0.05,0.1,0.0,0.05,0.1,0.1,0.05,0.1,0.1,0.1
0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.1,0.05,0.1
0.05,0.1,0.05,0.05,0.0,0.05,0.0,0.05,0.05,0.1
0.1,0.05,0.05,0.1,0.05,0.05,0.0,0.05,0.05,0.0
0.0,0.05,0.0,0.1,0.0,0.05,0.05,0.1,0.1,0.1
0.05,0.0,0.05,0.05,0.1,0.0,0.05,0.0,0.05,0.1
0.05,0.05,0.1,0.05,0.05,0.0,0.1,0.05,0.05,0.0
0.05,0.1,0.05,0.0,0.1,0.05,0.05,0.05,0.1,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.0
0.05,0.05,0.1,0.0,0.05,0.1,0.05,0.1,0.1,0.05
0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05
0.05,0.0,0.05,0.0,0.05,0.05,0.0,0.1,0.05,0.0
0.05,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0
0.1,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0
0.05,0.05,0.05,0.1,0.05,0.1,0.05,0.1,0.0,0.0
0.1,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.0,0.0
0.05,0.1,0.1,0.05,0.05,0.1,0.05,0.05,0.0,0.0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0
0.05,0.1,0.05,0.05,0.1,0.05,0.1,0.1,0.05,0.1
0.05,0.05,0.1,0.05,0.1,0.05,0.05,0.05,0.0,0.0
0.05,0.05,0.05,0.1,0.05,0.1,0.05,0.0,0.0,0.0
0.1,0.05,0.1,0.1,0.1,0.0,0.05,0.0,0.0,0.0
0.05,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.05,0.0
0.1,0.05,0.05,0.1,0.1,0.1,0.0,0.0,0.0,0.05
0.1,0.0,0.1,0.0,0.1,0.0,0.05,0.0,0.0,0.0
0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.0,0.05,0.0
0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.05
0.1,0.1,0.05,0.1,0.05,0.1,0.05,0.0,0.05,0.05
0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.0,0.0
0.05,0.1,0.0,0.1,0.0,0.05,0.0,0.1,0.0,0.0
0.05,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
0.05,0.075,0.05,0.05,0.05,0.05,0.05,0.075,0.075,0.05
0.05,0.05,0.05,0.05,0.025,0.025,0.025,0.025,0.025,0.05
0.0,0.0,0.05,0.1,0.1,0.05,0.05,0.025,0.025,0.05
0.075,0.05,0.1,0.075,0.075,0.05,0.05,0.025,0.025,0.05
0.05,0.05,0.1,0.1,0.05,0.075,0.075,0.05,0.0,0.0
